group_type,k,s,err,delta,noise_scale,n,weight_decay,hit_rate,proxy_hit_rate,correct,proxy_correct,episodes,mean_reward,wn_policy_net_0,wn_policy_net_2,wn_action_net,weight_norm_actor,wn_value_net_0,wn_value_net_2,wn_value_net_out,weight_norm_critic,weight_norm_total,fit_status,fit_L,fit_A,fit_tau,fit_L_err,fit_A_err,fit_tau_err,r_squared,rmse,fit_points_used,source_file
margin,21,1.0,0.0,0.047619047619047616,,,0.0,1.0,1.0,500,500,500,1.0,5.840514837892617,18.342285398343392,6.679309109516474,20.37557894604212,2.9434611221274416,8.128016380536137,1.0554019813724689,8.708759211393115,22.15867108805082,ok,0.9380333243168516,0.7322783086171839,55713.12201196354,0.000186981526432,0.0002565084971744,53.66055850386842,0.9764454182722276,0.0291700814209198,200704,per_layer_weight_norm_rerun_7.csv
margin,22,1.0,0.0,0.045454545454545456,,,0.0,1.0,1.0,500,500,500,1.0,5.923639422139465,18.39018488983683,6.640900922812251,20.430124066008908,2.9898118929714537,8.124654519548878,1.0460593227722133,8.720276734378228,22.213356245211,ok,0.9297008248719624,0.7364389329702802,54421.9146481907,0.0001772190688983,0.0002523974248372,50.379062351862856,0.9776278302969068,0.0285340996776239,200704,per_layer_weight_norm_rerun_7.csv
margin,23,1.0,0.0,0.043478260869565216,,,0.0,1.0,1.0,500,500,500,1.0,5.709872069433046,18.07462247847335,6.6779764704181135,20.09701436850966,2.9992293222275315,8.117165425025508,1.0330417529345686,8.714982864460783,21.90527134860303,ok,0.9220013583525531,0.7120998546339181,59619.01344320513,0.0002164223990465,0.0002670826926099,64.57403100365539,0.9726183388911568,0.0307176026040564,200704,per_layer_weight_norm_rerun_7.csv
margin,24,1.0,0.0,0.041666666666666664,,,0.0,1.0,1.0,500,500,500,1.0,5.686642380390411,17.902481268351035,6.729376625669463,19.95297589073416,3.0141681551769217,8.036790170738792,1.019460085336793,8.643755247678014,21.744786770119862,ok,0.9063994841701118,0.6927835033341091,58177.84915624704,0.0002098157317349,0.0002688657601527,64.0938695316185,0.9708743262711936,0.0308304683966592,200704,per_layer_weight_norm_rerun_7.csv
margin,25,1.0,0.0,0.04,,,0.0,1.0,1.0,500,500,500,1.0,5.736159215978905,18.318234595457337,6.6544040203924295,20.316060989076718,2.960053417607409,8.085577556873117,1.041811813428238,8.67316853969172,22.089956691441994,ok,0.9049844709750025,0.7005955943986186,58976.69738715024,0.0002088463526122,0.0002620450655005,63.22559651807621,0.9728137574309036,0.0301033680494696,200704,per_layer_weight_norm_rerun_7.csv
margin,26,1.0,0.0,0.038461538461538464,,,0.0,1.0,1.0,500,500,500,1.0,5.890395936635566,19.2397374596349,6.5329711543228255,21.15523514190341,2.9495281739261068,8.060595404791039,1.0498586189478114,8.647260713561336,22.85430138414925,ok,0.918048018622202,0.6986825366311099,63940.503871700326,0.0002403335001821,0.0002676453816646,73.9316680593474,0.9714645573206964,0.0307872405512112,200704,per_layer_weight_norm_rerun_7.csv
margin,27,1.0,0.0,0.037037037037037035,,,0.0,1.0,1.0,500,500,500,1.0,5.7767004205543415,18.35322481424115,6.597735034942007,20.340630187440382,3.0103128617725137,8.088280696255387,1.0391679668029918,8.692648515291529,22.12020286147057,ok,0.894244234456316,0.6783931417872415,62731.51811362503,0.0002435469292885,0.000278675470824,76.91627133915262,0.967256797186431,0.0320984390638416,200704,per_layer_weight_norm_rerun_7.csv
margin,28,1.0,0.0,0.03571428571428571,,,0.0,1.0,1.0,500,500,500,1.0,5.726813517711632,18.34922520355645,6.669219681114502,20.34622691784501,2.918047218340096,8.025934567171147,1.0352028739523922,8.602457220772118,22.09007062070321,ok,0.8879118255035646,0.6711048232583682,63459.214727586485,0.0002420939652757,0.0002725069013532,77.43530587717314,0.968016324293172,0.0313671327636289,200704,per_layer_weight_norm_rerun_7.csv
margin,29,1.0,0.0,0.034482758620689655,,,0.0,1.0,1.0,500,500,500,1.0,5.913803734907144,19.216266445248905,6.662084677172912,21.180683250443614,2.973680194546145,8.11870149255817,1.0458227378077571,8.709180961698864,22.901335681117832,ok,0.9032019775049523,0.6809321708340059,67723.74913554925,0.0002654798600666,0.0002738984695159,84.62279892284178,0.9691925777754514,0.0311560556926771,200704,per_layer_weight_norm_rerun_7.csv
margin,30,1.0,0.0,0.03333333333333333,,,0.0,0.998,0.998,499,499,500,0.998,5.77958038810404,18.4366765678929,6.667449154207591,20.43940974088028,2.919149854276124,8.05967789012757,1.0705287307158984,8.638626935319044,22.18998300772696,ok,0.8793168491537587,0.654201863487968,65447.36212964031,0.0002561205477934,0.0002762486620186,84.47622421893251,0.9657125488944774,0.0316762967483211,200704,per_layer_weight_norm_rerun_7.csv
