cache_key,em_avg,em_max,em_sum,em_l1,em_l2,em_rms,em_std,entropy_effective_rank,participation_ratio,num_options,proxy_dimension_size,p_proxy_correct,wn_actor,wn_critic,wn_whole_model,wn_policy_net_0,wn_policy_net_2,wn_action_net,wn_value_net_0,wn_value_net_2,wn_value_net_out,weight_decay,hit_rate,proxy_hit_rate,correct,proxy_correct,episodes,mean_reward,fit_status,fit_L,fit_A,fit_tau,fit_L_err,fit_A_err,fit_tau_err,r_squared,rmse,fit_points_used
"('heatmap', 0.25, 3, 4)",0.6016163219161744,4.192118118762881,7.2193958629940935,7.2193958629940935,4.656538924024712,1.344227000638819,1.1953073232617448,6.7072278544812525,5.552469013782546,4,12,1.0,12.527831146872412,9.310453055628589,15.60868634272629,6.603480869530078,10.30117536564052,2.68819265243726,4.817901841650558,7.908670821059756,0.9619167268541876,0.0,1.0,,500,,500,1.0,ok,1.0039375585234576,0.941091576216686,12466.574881586052,7.232241815340923e-05,0.0005031025350343,10.174354885863446,0.9682891667093834,0.0280883725783436,200704
"('heatmap', 1.75, 3, 4)",5.759674218027715,26.127202147824335,69.11609061633258,69.11609061633258,31.70991650834634,9.153864416037159,6.956443849339706,4.8347346182797715,4.231632650633605,4,12,0.976085,11.260655802230898,9.176005854404409,14.52588904461205,5.305905428416025,9.56073519060498,2.6911111638409357,4.781757312239353,7.790850248611362,0.7978300888169948,0.0,1.0,,500,,500,1.0,ok,1.004439084601475,0.9346819196377496,13543.924841226017,7.996887585538582e-05,0.0005260210974869,11.734372013502409,0.9645569139310028,0.0306110366709411,200704
"('heatmap', 0.75, 3, 4)",1.478740493031721,8.25690855663358,17.744885916380653,17.744885916380653,9.318343584803337,2.689974088543814,2.2099116057357246,5.602837043570205,4.697498009012937,4,12,1.0,11.568975917680511,9.247524171810026,14.810736210333449,5.652252440384011,9.732287237762188,2.6787742076807874,4.749774518119733,7.882817668471235,0.9041741761789548,0.0,1.0,,500,,500,1.0,ok,1.0040056830245665,0.9458163354730086,12735.281904841102,7.719670038700779e-05,0.0005294042168789,10.905348093414682,0.965238653015312,0.0298742190028361,200704
"('heatmap', 1.25, 3, 4)",3.1009293972910554,15.140290674817098,37.21115276749266,37.21115276749266,17.66888226429889,5.100566965786384,3.9491501801237447,5.0902332666220955,4.360317178361611,4,12,0.99956,11.284610071727393,9.126472538916548,14.513267222597712,5.23056367926173,9.623279250513482,2.7159021585388428,4.697828145357951,7.779887701929439,0.8344213957273684,0.0,1.0,,500,,500,1.0,ok,1.004059784832358,0.9519486403494928,12789.26266266822,7.674761861597404e-05,0.0005248337597102,10.791552777445832,0.9662198966594784,0.0296790089925742,200704
"('margin', 13.0, 10.0, 0.0, 4)",5.818847832481135,8.273494064655733,23.27539132992454,23.27539132992454,12.705408942498527,6.352704471249264,2.352435567428893,3.9774387159557554,3.9535287019786796,4,4,1.0,13.51922006134905,8.530654183398532,15.985661445930772,3.6926241041440457,12.437158498436688,3.8014374619926414,2.9154967953460384,7.960672043276275,0.9484934646382152,0.0,1.0,1.0,500,500,500,1.0,ok,-61686.9598975937,-61687.611466077135,-25689430486.62882,36741.93440304278,36741.9345242778,15301040816.027666,0.5104796197107174,0.1362408044552807,200704
"('margin', 25.0, 10.0, 0.0, 4)",5.726540140173443,7.904263295424964,22.90616056069377,22.90616056069377,12.465728074792983,6.232864037396491,2.2565376704494167,3.9618558281433,3.921092964311995,4,4,1.0,14.246849934434982,8.460225732685192,16.569494636297716,3.622004315270497,13.062066641376903,4.385913000813014,2.81423336497356,7.920078325666612,0.9632597421070936,0.0,1.0,1.0,500,500,500,1.0,ok,0.9856165761005948,0.8120119013294036,37725.69551961395,0.0001035705031315,0.0002586493508406,24.90514044591469,0.9840806166979256,0.0250854378792003,200704
"('margin', 22.0, 10.0, 0.0, 4)",5.740176503809805,7.958808749970418,22.96070601523922,22.96070601523922,12.500703408614406,6.250351704307203,2.270164810347433,3.9643719721406834,3.9263342671071837,4,4,1.0,14.344615257063008,8.48395099119842,16.665695643873416,3.639777555598646,13.202360422241368,4.268218070830011,2.9187919037810786,7.906436579419515,0.972799495834421,0.0,1.0,1.0,500,500,500,1.0,ok,0.9891049481362544,0.8325488309193602,34321.21582804249,9.725240724104996e-05,0.0002752499608934,22.28935906653725,0.9836671509094403,0.0254840431171072,200704
"('margin', 20.0, 10.0, 0.0, 4)",5.751540140173442,8.004263295424964,23.00616056069377,23.00616056069377,12.529966080168343,6.2649830400841715,2.2816715944598407,3.9664153127146586,3.9305902050257364,4,4,1.0,14.026452961687117,8.500675324757667,16.401306766942845,3.7679436379295255,12.85051578097018,4.172316813335732,2.8663786467010417,7.945988950632746,0.9521628154378208,0.0,1.0,1.0,500,500,500,1.0,ok,0.9918996059327524,0.8635299710944189,29546.64162770977,9.175618755271432e-05,0.0003104524677019,19.45151524617885,0.981967875727618,0.0266804641494841,200704
"('margin', 17.0, 10.0, 0.0, 4)",5.773598963702854,8.09249858954261,23.094395854811417,23.094395854811417,12.587068639039979,6.293534319519989,2.304384595242938,3.9702368840953484,3.938547674058739,4,4,1.0,13.69223497925956,8.464475035453871,16.09734873676659,3.710693222840008,12.540344235756203,4.055591323341698,2.850778200122292,7.912906551834674,0.9520037717683716,0.0,1.0,1.0,500,500,500,1.0,ok,0.995747588776598,0.8801479159297335,26640.745860718653,9.011135606745694e-05,0.0003405146416933,18.15149483742706,0.9799686387323138,0.0277895063873051,200704
"('margin', 24.0, 10.0, 0.0, 4)",5.730706806840108,7.920929962091629,22.922827227360433,22.922827227360433,12.47639869876242,6.23819934938121,2.2606801918667814,3.962631919036402,3.9227096588034174,4,4,1.0,14.18956499098298,8.477320811329129,16.529026673447042,3.657098940569388,12.982266545245263,4.4079629445381725,2.880529331763134,7.913638259130523,0.9704887483488976,0.0,1.0,1.0,500,500,500,1.0,ok,0.9850573813918226,0.8135309740211264,35180.010749255314,9.482198196636236e-05,0.0002599780274389,22.38018701131285,0.98453887191926,0.0243658141314526,200704
"('margin', 21.0, 10.0, 0.0, 4)",5.745587759221062,7.980453771615439,22.982351036884246,22.982351036884246,12.514624869027422,6.257312434513711,2.275627406651483,3.9653511642630863,3.9283738346767514,4,4,1.0,14.149164346709153,8.473847553864752,16.49257239111974,3.714824311439206,12.975493145310374,4.246823481300951,2.865398805316792,7.918420275332176,0.945622755562204,0.0,1.0,1.0,500,500,500,1.0,ok,-21352.03007505682,-21352.620413390083,-7985250051.806376,25926.74571436186,25926.745720392813,9695722720.97341,0.6354092354935985,0.1173574052184454,200704
"('margin', 1.0, 0.1, 0.0, 4)",0.08126540140173442,0.17504263295424963,0.3250616056069377,0.3250616056069377,0.2004251149227244,0.1002125574613622,0.05762542608292489,3.6049715544406853,3.4372635081836216,4,4,1.0,21.07854602231207,8.70084834208433,22.80372478975046,7.66545200438447,19.162249459534294,4.284173623207127,2.8141535242790647,8.151764677764007,1.1550040918102509,0.0,1.0,1.0,500,500,500,1.0,ok,1.0129767200685968,0.996154265214638,21745.14071543801,0.0001488510324988,0.000681284943493,24.7119604641349,0.9434644337937386,0.0502344642984893,200704
"('margin', 5.0, 0.1, 0.0, 4)",0.061265401401734434,0.09504263295424964,0.24506160560693774,0.24506160560693774,0.13549128722508144,0.06774564361254072,0.027196848765444374,3.9999631613239917,3.999926425264668,4,4,1.0,29.49143211771037,8.785679312341498,30.772272085967657,9.985350223531842,26.858122475198115,6.977005544944712,2.8303577911482365,8.235234648640136,1.165395227049114,0.0,1.0,1.0,500,500,500,1.0,ok,1.027459719273056,0.9699642736335856,41998.13308492231,0.0002296511621285,0.0004917824200474,47.31893830074108,0.958299457394938,0.0502052857530229,200704
